Test,high temp,low temp,ave temp,ave voltage std,ave voltage,ave resistance,resistance std
char1,30,20,25.1388598,0.020241151,3.577268357,0.974679472,0.060718695
aging1,30,21,22.86734169,0.021573782,3.573709669,0.949148465,0.110090448
aging2,30,21,22.86729556,0.022419735,3.573653013,0.916084926,0.020588426
aging3,30,21,22.86990348,0.023453605,3.573658562,0.950317297,0.056598333
char2,33,20,23.37817526,0.013512499,3.587608274,0.934770284,0.106528459
aging4,30,20,25.33361841,0.023943316,3.577299344,0.897445493,0.04799573
aging5,33,21,25.87825757,0.012155557,3.587100912,0.837997557,0.054278369
aging6,34,19,23.66088869,0.014621195,3.584806638,0.853393519,0.055333464
Aging7,35,19,25.20897867,0.016726231,3.546420628,0.879375887,0.059340599
aging8,34,20,25.23432695,0.01707257,3.546547193,0.894629363,0.046408224
aging9,35,20,24.86625266,0.013275664,3.545420696,0.849404394,0.053702228
aging11,31,20,24.46934296,0.01498156,3.544746876,0.863206732,0.046504985
Aging12,32,20,23.95484593,0.016803008,3.544326893,0.869251485,0.052725053
aging13,32,20,24.39879464,0.013014549,3.544084852,0.870641222,0.044318989
aging14,33,20,23.26929198,0.017077165,3.543459835,0.856977076,0.038248248
aging15,32,20,23.83109385,0.017160724,3.543344494,0.870881387,0.032606307
Aging16,32,20,24.52475728,0.013520646,3.54224713,0.89050942,0.039396944
aging17,32,20,25.12501973,0.017259068,3.542000385,0.91024363,0.030222917
aging18,32,15,23.54478137,0.017868776,3.549298183,0.898506222,0.038737918
aging19,32,19,23.49497135,0.01599707,3.59492445,0.906477881,0.050889976
aging20,32,19,23.8436866,0.019116566,3.535971254,0.877933812,0.033059568
Aging21,32,20,24.8681343,0.016178589,3.534364049,0.900936867,0.040625854
Aging22,35,20,25.03622445,0.018116709,3.534724268,0.892245185,0.033046575
Aging23,33,19,24.43832256,0.017663975,3.577604789,0.920722969,0.043587899
Aging24,33,19,25.54486331,0.018272132,3.577567477,0.913464752,0.052706527
Aging25,37,19,26.62115418,0.014825452,3.578285052,0.911977332,0.045839884
Aging26,37,19,25.16518909,0.017017886,3.57301735,0.936346426,0.040407329
Aging27,33,18,21.39880922,0.017907897,3.574716737,0.855408634,0.152060909
Aging27,33,18,21.39880922,0.017907897,3.574716737,0.855408634,0.152060909
Aging28,35,19,23.92701148,0.012431912,3.55061836,0.69680465,0.11599715
